location,year,deaths,LEKTIKO
MUNICIPALITY OF ATHENS,2016,11,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ
BYRON MUNICIPALITY,2016,0,ΔΗΜΟΣ ΒΥΡΩΝΟΣ
MUNICIPALITY OF GALATSIOU,2016,2,ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ
MUNICIPALITY OF DAFNIS - YMITTOU,2016,2,ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ
ZOGRAFOU MUNICIPALITY,2016,0,ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ
MUNICIPALITY OF ELIOUPOLE,2016,2,ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΕΩΣ
MUNICIPALITY OF KAESARIANI,2016,1,ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ
MUNICIPALITY OF PHILADELPHIA - CHALKIDONOS,2016,0,ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔ
MUNICIPALITY OF AMAROUSIOU,2016,7,ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ
MUNICIPALITY OF AGIA PARASKEVI,2016,4,ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ
VRILISSI MUNICIPALITY,2016,1,ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ
MUNICIPALITY OF HERACLEIOU,2016,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF HERACLEIOU,2016,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF KIFISIA,2016,5,ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ
MUNICIPALITY OF LYKOVRYSIS - PEFKI,2016,0,ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ
MUNICIPALITY OF TRANSFORMATION,2016,3,ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ
MUNICIPALITY OF NEAS IONIA,2016,1,ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ
MUNICIPALITY OF PAPAGOS - CHOLARGOS,2016,0,ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ
MUNICIPALITY OF PENDELIS,2016,0,ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ
MUNICIPALITY OF FILOTHEIS - PSYHIKOU,2016,2,ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ
MUNICIPALITY OF CHALANDRIOU,2016,7,ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ
MUNICIPALITY OF PISTERIOU,2016,9,ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ
MUNICIPALITY OF SAINT BARBARA,2016,1,ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
MUNICIPALITY OF AGION ARANGYRO - KAMATERO,2016,5,ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜ
AEGALEO MUNICIPALITY,2016,5,ΔΗΜΟΣ ΑΙΓΑΛΕΩ
ILIUS MUNICIPALITY,2016,1,ΔΗΜΟΣ ΙΛΙΟΥ
PETROUPOLE MUNICIPALITY,2016,0,ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΕΩΣ
HAIDARIO MUNICIPALITY,2016,2,ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ
MUNICIPALITY OF KALLITHEAS,2016,6,ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ
MUNICIPALITY OF AGIOS DIMITRIOS,2016,5,ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ
MUNICIPALITY OF ALIMOS,2016,3,ΔΗΜΟΣ ΑΛΙΜΟΥ
GLYFADA MUNICIPALITY,2016,3,ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ
MUNICIPALITY OF ELLINIKOU - ARGYROUPOLI,2016,9,ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟ
MUNICIPALITY OF MOSCHATO - TAVROU,2016,4,ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ
MUNICIPALITY OF NEAS MYRNIS,2016,1,ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ
MUNICIPALITY OF PALAI FALIRO,2016,2,ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ
ACHARNON MUNICIPALITY,2016,9,ΔΗΜΟΣ ΑΧΑΡΝΩΝ
MUNICIPALITY OF VARIS - VOULAS - VOULIAGMENI,2016,3,ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙ
DIONYSOS MUNICIPALITY,2016,3,ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ
MUNICIPALITY OF KROPIA,2016,5,ΔΗΜΟΣ ΚΡΩΠΙΑΣ
LAVREOTIKI MUNICIPALITY,2016,1,ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ
MUNICIPALITY OF MARATHON,2016,5,ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ
MUNICIPALITY OF MARKOPOULO MESOGAIAS,2016,5,ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑ
MUNICIPALITY OF PEANIA,2016,2,ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ
PALLINI MUNICIPALITY,2016,1,ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ
MUNICIPALITY OF RAFINAS - PIKERMIOU,2016,3,ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ
MUNICIPALITY OF SARONIKO,2016,6,ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ
MUNICIPALITY OF SPATON - ARTEMIDOS,2016,6,ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
OROPOU MUNICIPALITY,2016,1,ΔΗΜΟΣ ΩΡΩΠΟΥ
MUNICIPALITY OF ELEFSINA,2016,2,ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ
ASPROPYRGO MUNICIPALITY,2016,4,ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ
MUNICIPALITY OF MANDRAS - IDYLLIAS,2016,5,ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ
MEGAREON MUNICIPALITY,2016,6,ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ
MUNICIPALITY OF FILIS,2016,2,ΔΗΜΟΣ ΦΥΛΗΣ
MUNICIPALITY OF PIRAEUS,2016,6,ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ
MUNICIPALITY OF KERATSINIOU - DRAPETSONAS,2016,6,ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣ
KORYDALLO MUNICIPALITY,2016,1,ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ
MUNICIPALITY OF NICAIA - AGIOU IOANNI RENTI,2016,8,ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝ
PERAMATO MUNICIPALITY,2016,2,ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ
MUNICIPALITY OF SALAMINOS,2016,3,ΔΗΜΟΣ ΣΑΛΑΜΙΝΟΣ
MUNICIPALITY OF LESVO,2016,9,ΔΗΜΟΣ ΛΕΣΒΟΥ
MUNICIPALITY OF IKARIA,2016,0,ΔΗΜΟΣ ΙΚΑΡΙΑΣ
MUNICIPALITY OF FURNA CORSEI,2016,0,ΔΗΜΟΣ ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ
LIMN MUNICIPALITY,2016,4,ΔΗΜΟΣ ΛΗΜΝΟΥ
MUNICIPALITY OF SAMOS,2016,2,ΔΗΜΟΣ ΣΑΜΟΥ
MUNICIPALITY OF CHIOS,2016,2,ΔΗΜΟΣ ΧΙΟΥ
MUNICIPALITY OF SYRO - HERMOUPOLI,2016,1,ΔΗΜΟΣ ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ
MUNICIPALITY OF ANDROS,2016,1,ΔΗΜΟΣ ΆΝΔΡΟΥ
MUNICIPALITY OF THERA,2016,5,ΔΗΜΟΣ ΘΗΡΑΣ
MUNICIPALITY OF IETON,2016,0,ΔΗΜΟΣ ΙΗΤΩΝ
MUNICIPALITY OF KALYMNIA,2016,1,ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ
MUNICIPALITY OF LEROS,2016,2,ΔΗΜΟΣ ΛΕΡΟΥ
PATMOS MUNICIPALITY,2016,0,ΔΗΜΟΣ ΠΑΤΜΟΥ
MUNICIPALITY OF KARPATHOU,2016,1,ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ
MUNICIPALITY OF KEAS,2016,0,ΔΗΜΟΣ ΚΕΑΣ
MUNICIPALITY OF KO,2016,8,ΔΗΜΟΣ ΚΩ
MUNICIPALITY OF MILOS,2016,1,ΔΗΜΟΣ ΜΗΛΟΥ
MUNICIPALITY OF SIFNOS,2016,0,ΔΗΜΟΣ ΣΙΦΝΟΥ
MUNICIPALITY OF MYKONOS,2016,3,ΔΗΜΟΣ ΜΥΚΟΝΟΥ
MUNICIPALITY OF NAXOS AND MIKRON KYKLADES,2016,0,ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛ
MUNICIPALITY OF PAROS,2016,3,ΔΗΜΟΣ ΠΑΡΟΥ
MUNICIPALITY OF RHODES,2016,19,ΔΗΜΟΣ ΡΟΔΟΥ
MUNICIPALITY OF SIMI,2016,0,ΔΗΜΟΣ ΣΥΜΗΣ
MUNICIPALITY OF TINOS,2016,0,ΔΗΜΟΣ ΤΗΝΟΥ
MUNICIPALITY OF HERACLEIOU,2016,14,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF HERACLEIOU,2016,14,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF ARCHANA - ASTEROUSIA,2016,6,ΔΗΜΟΣ ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ
VIANNO MUNICIPALITY,2016,0,ΔΗΜΟΣ ΒΙΑΝΝΟΥ
MUNICIPALITY OF GORTYNAS,2016,1,ΔΗΜΟΣ ΓΟΡΤΥΝΑΣ
MUNICIPALITY OF MALEVIZIOU,2016,1,ΔΗΜΟΣ ΜΑΛΕΒΙΖΙΟΥ
MUNICIPALITY OF MINOA PEDIADAS,2016,0,ΔΗΜΟΣ ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ
MUNICIPALITY OF FAISTOS,2016,4,ΔΗΜΟΣ ΦΑΙΣΤΟΥ
MUNICIPALITY OF HERSONIS,2016,2,ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ
MUNICIPALITY OF AGIOS NIKOLAOUS,2016,2,ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
IERAPETRA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ
MUNICIPALITY OF OROPEDIOU LASSITHIO,2016,0,ΔΗΜΟΣ ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
MUNICIPALITY OF SITEIA,2016,2,ΔΗΜΟΣ ΣΗΤΕΙΑΣ
MUNICIPALITY OF RETHYMNI,2016,8,ΔΗΜΟΣ ΡΕΘΥΜΝΗΣ
MUNICIPALITY OF AGIOS VASILEIOU,2016,0,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
MYLOPOTAM MUNICIPALITY,2016,3,ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ
MUNICIPALITY OF CHANIA,2016,11,ΔΗΜΟΣ ΧΑΝΙΩΝ
APOKORON MUNICIPALITY,2016,1,ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ
MUNICIPALITY OF KANTANO - SELINO,2016,0,ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ
MUNICIPALITY OF KISSAMOU,2016,2,ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ
PLATANIA MUNICIPALITY,2016,3,ΔΗΜΟΣ ΠΛΑΤΑΝΙΑ
MUNICIPALITY OF SFAKIA,2016,1,ΔΗΜΟΣ ΣΦΑΚΙΩΝ
KOMOTINI MUNICIPALITY,2022,3,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ
ARRIANA MUNICIPALITY,2022,0,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ
MUNICIPALITY OF IASMO,2022,2,ΔΗΜΟΣ ΙΑΣΜΟΥ
MUNICIPALITY OF MARONEIA - SAPON,2022,0,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
MUNICIPALITY OF DRAMA,2022,1,ΔΗΜΟΣ ΔΡΑΜΑΣ
DOXATO MUNICIPALITY,2022,1,ΔΗΜΟΣ ΔΟΞΑΤΟΥ
MUNICIPALITY OF KATO NEUROKOPIOU,2022,1,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
PROSOTSANI MUNICIPALITY,2022,0,ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ
MUNICIPALITY OF ALEXANDROUPOLI,2022,7,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
MUNICIPALITY OF DIDYMOTEICHO,2022,0,ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ
MUNICIPALITY OF ORESTIADAS,2022,1,ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ
MUNICIPALITY OF SAMOTRAKI,2022,1,ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ
MUNICIPALITY OF SOUFLIOU,2022,1,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ
MUNICIPALITY OF THASOS,2022,2,ΔΗΜΟΣ ΘΑΣΟΥ
MUNICIPALITY OF KAVALAS,2022,2,ΔΗΜΟΣ ΚΑΒΑΛΑΣ
MUNICIPALITY OF NESTO,2022,1,ΔΗΜΟΣ ΝΕΣΤΟΥ
PANGAI MUNICIPALITY,2022,6,ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ
MUNICIPALITY OF XANTHI,2022,6,ΔΗΜΟΣ ΞΑΝΘΗΣ
MUNICIPALITY OF ABDIRON,2022,5,ΔΗΜΟΣ ΑΒΔΗΡΩΝ
MUNICIPALITY OF MYKIS,2022,0,ΔΗΜΟΣ ΜΥΚΗΣ
MUNICIPALITY OF TOPIRO,2022,1,ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ
MUNICIPALITY OF THESSALONIKI,2022,5,ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ
MUNICIPALITY OF AMBELOKIPON - MENEMENE,2022,0,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝ
MUNICIPALITY OF VOLBI,2022,2,ΔΗΜΟΣ ΒΟΛΒΗΣ
DELTA MUNICIPALITY,2022,4,ΔΗΜΟΣ ΔΕΛΤΑ
MUNICIPALITY OF THERMAIKOU,2022,1,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ
MUNICIPALITY OF THERMI,2022,8,ΔΗΜΟΣ ΘΕΡΜΗΣ
MUNICIPALITY OF KALAMARIA,2022,2,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ
MUNICIPALITY OF KORDELIOU - EVOSMOS,2022,1,ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ
LAGKADA MUNICIPALITY,2022,3,ΔΗΜΟΣ ΛΑΓΚΑΔΑ
MUNICIPALITY OF NAPOLI - SYKEON,2022,0,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
MUNICIPALITY OF PAVLO MELA,2022,2,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ
MUNICIPALITY OF PYLIAS - HORTIATI,2022,2,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
MUNICIPALITY OF CHALKEDON,2022,3,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ
OREIOKASTR MUNICIPALITY,2022,1,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ
MUNICIPALITY OF VERIA,2022,6,ΔΗΜΟΣ ΒΕΡΟΙΑΣ
MUNICIPALITY OF ALEXANDRIA,2022,5,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ
NAOUSA MUNICIPALITY,2022,3,ΔΗΜΟΣ ΝΑΟΥΣΑΣ
MUNICIPALITY OF KILKIS,2022,4,ΔΗΜΟΣ ΚΙΛΚΙΣ
PAIONIA MUNICIPALITY,2022,1,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ
MUNICIPALITY OF EDESSA,2022,1,ΔΗΜΟΣ ΕΔΕΣΣΑΣ
ALMOPIA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ
MUNICIPALITY OF PELLAS,2022,0,ΔΗΜΟΣ ΠΕΛΛΑΣ
SKYDRA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΣΚΥΔΡΑΣ
KATERINIS MUNICIPALITY,2022,1,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ
MUNICIPALITY OF DIOU - OLYMPOU,2022,3,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ
MUNICIPALITY OF PYDNAS - KOLINDROU,2022,3,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ
MUNICIPALITY OF SERRON,2022,3,ΔΗΜΟΣ ΣΕΡΡΩΝ
MUNICIPALITY OF AMPHIPOLIS,2022,2,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ
MUNICIPALITY OF VISALTIA,2022,2,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ
EMMANUEL PAPPA MUNICIPALITY,2022,1,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ
HERACLEIA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ
MUNICIPALITY OF NEAS ZIKNIS,2022,1,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ
MUNICIPALITY OF SINDIKI,2022,2,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ
POLYGYRO MUNICIPALITY,2022,2,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ
ARISTOTELI MUNICIPALITY,2022,4,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ
MUNICIPALITY OF KASSANDRAS,2022,3,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ
MUNICIPALITY OF NEAS PROPONTIDAS,2022,1,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
SITHONIA MUNICIPALITY,2022,1,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ
MUNICIPALITY OF KOZANI,2022,5,ΔΗΜΟΣ ΚΟΖΑΝΗΣ
MUNICIPALITY OF VOIO,2022,1,ΔΗΜΟΣ ΒΟΪΟΥ
MUNICIPALITY OF EORDIA,2022,2,ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ
MUNICIPALITY OF SERBIA - VELVENTOU,2022,0,ΔΗΜΟΣ ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ
MUNICIPALITY OF GREVEN,2022,1,ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ
MUNICIPALITY OF KASTORIA,2022,2,ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ
MUNICIPALITY OF ORESTIDOS,2022,0,ΔΗΜΟΣ ΟΡΕΣΤΙΔΟΣ
MUNICIPALITY OF FLORINA,2022,3,ΔΗΜΟΣ ΦΛΩΡΙΝΑΣ
MUNICIPALITY OF IOANNITON,2022,2,ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ
MUNICIPALITY OF NORTH ZOUMERKA,2022,0,ΔΗΜΟΣ ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ
DODONIS MUNICIPALITY,2022,0,ΔΗΜΟΣ ΔΩΔΩΝΗΣ
MUNICIPALITY OF ZAGORI,2022,0,ΔΗΜΟΣ ΖΑΓΟΡΙΟΥ
MUNICIPALITY OF ZITSAS,2022,1,ΔΗΜΟΣ ΖΙΤΣΑΣ
MUNICIPALITY OF KONICSA,2022,0,ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ
METSOVO MUNICIPALITY,2022,0,ΔΗΜΟΣ ΜΕΤΣΟΒΟΥ
MUNICIPALITY OF POGONI,2022,0,ΔΗΜΟΣ ΠΩΓΩΝΙΟΥ
MUNICIPALITY OF ARTAIA,2022,7,ΔΗΜΟΣ ΑΡΤΑΙΩΝ
MUNICIPALITY OF GEORGIOU KARAISKAKI,2022,0,ΔΗΜΟΣ ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ
MUNICIPALITY OF CENTRAL ZOUMERKI,2022,1,ΔΗΜΟΣ ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ
MUNICIPALITY OF NIKOLAOS SKOUFAS,2022,1,ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
MUNICIPALITY OF IGOUMENITSA,2022,0,ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ
SOULIOU MUNICIPALITY,2022,1,ΔΗΜΟΣ ΣΟΥΛΙΟΥ
MUNICIPALITY OF FILIATON,2022,0,ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ
MUNICIPALITY OF PREVEZA,2022,1,ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ
MUNICIPALITY OF ZIRO,2022,4,ΔΗΜΟΣ ΖΗΡΟΥ
MUNICIPALITY OF PARGAS,2022,1,ΔΗΜΟΣ ΠΑΡΓΑΣ
MUNICIPALITY OF LARISAI,2022,8,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ
MUNICIPALITY OF AGIA,2022,1,ΔΗΜΟΣ ΑΓΙΑΣ
ELASSONAS MUNICIPALITY,2022,2,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ
KILELER MUNICIPALITY,2022,2,ΔΗΜΟΣ ΚΙΛΕΛΕΡ
MUNICIPALITY OF TEMPO,2022,0,ΔΗΜΟΣ ΤΕΜΠΩΝ
MUNICIPALITY OF TYRNAVO,2022,0,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ
FARSALA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ
MUNICIPALITY OF KARDITSA,2022,2,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ
MUNICIPALITY OF ARGITHEAS,2022,0,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ
LAKE PLASTIRA MUNICIPALITY,2022,0,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ
MOUZAKI MUNICIPALITY,2022,0,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ
PALAMA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΠΑΛΑΜΑ
MUNICIPALITY OF SOFADO,2022,3,ΔΗΜΟΣ ΣΟΦΑΔΩΝ
MUNICIPALITY OF VOLOS,2022,5,ΔΗΜΟΣ ΒΟΛΟΥ
ALMYRO MUNICIPALITY,2022,2,ΔΗΜΟΣ ΑΛΜΥΡΟΥ
MUNICIPALITY OF SOUTH PELIA,2022,1,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ
RIGA FERAI MUNICIPALITY,2022,3,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ
MUNICIPALITY OF SKIATHO,2022,1,ΔΗΜΟΣ ΣΚΙΑΘΟΥ
ALONNIS MUNICIPALITY,2022,0,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ
SKOPELO MUNICIPALITY,2022,0,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ
MUNICIPALITY OF TRIKKAIA,2022,0,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ
MUNICIPALITY OF KALAMPAKAS,2022,0,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ
GATE MUNICIPALITY,2022,1,ΔΗΜΟΣ ΠΥΛΗΣ
FARCADONAS MUNICIPALITY,2022,1,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ
MUNICIPALITY OF LAMIE,2022,6,ΔΗΜΟΣ ΛΑΜΙΕΩΝ
MUNICIPALITY OF AMFIKLIA - ELATIA,2022,2,ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ
DOMOKOU MUNICIPALITY,2022,1,ΔΗΜΟΣ ΔΟΜΟΚΟΥ
LOKRON MUNICIPALITY,2022,1,ΔΗΜΟΣ ΛΟΚΡΩΝ
MUNICIPALITY OF MAKRAKOMI,2022,1,ΔΗΜΟΣ ΜΑΚΡΑΚΩΜΗΣ
MUNICIPALITY OF MOLOS - AGIOS KONSTANTINOUS,2022,5,ΔΗΜΟΣ ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝ
MUNICIPALITY OF STYLIDOS,2022,0,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
MUNICIPALITY OF LEVADEA,2022,2,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
MUNICIPALITY OF ALIARTOU,2022,0,ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ
MUNICIPALITY OF DISTOMOS - ARACHOVAS - ANTIKYRAS,2022,0,ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ -
MUNICIPALITY OF THEBES,2022,2,ΔΗΜΟΣ ΘΗΒΑΙΩΝ
MUNICIPALITY OF ORHOMENOU,2022,0,ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ
TANAGRA MUNICIPALITY,2022,2,ΔΗΜΟΣ ΤΑΝΑΓΡΑΣ
MUNICIPALITY OF CHALKIS,2022,9,ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ
MUNICIPALITY OF DIRPHIA - MESSAPIA,2022,1,ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
ERETRIA MUNICIPALITY,2022,3,ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ
MUNICIPALITY OF ISTIAIA - EDIPSO,2022,6,ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
KARYSTO MUNICIPALITY,2022,1,ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ
MUNICIPALITY OF KYMI - ALIVERIOU,2022,4,ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
MUNICIPALITY OF MANTOUDIOU - LIMNIS - AGIAS ANNAS,2022,2,ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ -
